date,USDT_BTC,USDT_ETH,USDT_BCH,USDT_XRP,USDT_ETC,USDT_XMR,USDT_LTC,USDT_STR,USDT_DASH
2015-03-05 00:00:00,257.0,,,0.01125845,,0.497,,,3.5
2015-03-05 04:00:00,257.0,,,0.0114,,0.497,,,3.5
2015-03-05 08:00:00,277.01999999,,,0.0115,,0.26,,,3.5
2015-03-05 12:00:00,277.01999999,,,0.0115,,0.26,,,3.5
2015-03-05 16:00:00,277.01999999,,,0.0115,,0.26,,,3.5
2015-03-05 20:00:00,257.00012,,,0.0115,,0.26,,,3.5
2015-03-06 00:00:00,269.00014063,,,0.0115,,0.26,,,3.5
2015-03-06 04:00:00,269.00014063,,,0.0115,,0.497,,,3.5
2015-03-06 08:00:00,270.00199997,,,0.0115,,0.497,,,3.5
2015-03-06 12:00:00,270.00199997,,,0.0115,,0.497,,,3.5
2015-03-06 16:00:00,270.00199997,,,0.0115,,0.497,,,3.5
2015-03-06 20:00:00,260.0,,,0.011,,0.497,,,3.5
2015-03-07 00:00:00,260.00000522,,,0.011,,0.497,,,3.5
2015-03-07 04:00:00,260.00000522,,,0.011,,0.497,,,3.5
2015-03-07 08:00:00,260.00000522,,,0.011,,0.497,,,3.5
2015-03-07 12:00:00,260.00000522,,,0.011,,0.497,,,3.5
2015-03-07 16:00:00,260.00000522,,,0.011,,0.497,,,3.5
2015-03-07 20:00:00,260.00000522,,,0.011,,0.497,0.045,,3.5
2015-03-08 00:00:00,260.00000522,,,0.011,,0.497,0.045,,3.5
2015-03-08 04:00:00,260.00000522,,,0.011,,0.497,0.045,,3.5
2015-03-08 08:00:00,260.00000522,,,0.011,,0.497,0.045,,3.5
2015-03-08 12:00:00,260.000401,,,0.011,,0.49699999,0.045,,3.5
2015-03-08 16:00:00,275.002,,,0.011,,0.49699999,0.045,,3.5
2015-03-08 20:00:00,260.00003101,,,0.011,,0.49699999,0.045,,3.5
2015-03-09 00:00:00,260.00003101,,,0.011,,0.49699999,0.045,,3.5
2015-03-09 04:00:00,260.00003101,,,0.011,,0.49699999,0.045,,3.5
2015-03-09 08:00:00,276.15018646,,,0.011,,0.49699999,0.045,,3.5
2015-03-09 12:00:00,262.00000001,,,0.011,,0.49699999,0.045,,3.5
2015-03-09 16:00:00,262.59000002,,,0.011,,0.49699999,0.045,,3.5
2015-03-09 20:00:00,264.00000533,,,0.011,,0.25000223,0.045,,3.5
2015-03-10 00:00:00,264.00000533,,,0.011,,0.25000223,0.045,,3.5
2015-03-10 04:00:00,264.00006389,,,0.011,,0.25000223,0.045,,3.5
2015-03-10 08:00:00,279.00006387,,,0.011,,0.5399,0.045,,3.5
2015-03-10 12:00:00,279.00006387,,,0.011,,0.5399,0.045,,3.5
2015-03-10 16:00:00,291.0,,,0.011,,0.5399,0.960001,,3.5
